STRUCTURE_NAME,REF_AREA,Reference area,Measure,Age,Sex,Unit of measure,TIME_PERIOD,OBS_VALUE
Tobacco consumption,TUR,Türkiye,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,19.6
Tobacco consumption,TUR,Türkiye,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2022,19.3
Tobacco consumption,PER,Peru,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,16.5
Tobacco consumption,PER,Peru,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,11.5
Tobacco consumption,PER,Peru,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,9.4
Tobacco consumption,PER,Peru,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,8.8
Tobacco consumption,PER,Peru,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,8.2
Tobacco consumption,ARG,Argentina,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,28.3
Tobacco consumption,ARG,Argentina,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,26
Tobacco consumption,ARG,Argentina,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,24.7
Tobacco consumption,ARG,Argentina,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,24.3
Tobacco consumption,ARG,Argentina,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,24
Tobacco consumption,ITA,Italy,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,23.1
Tobacco consumption,ITA,Italy,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2011,22.5
Tobacco consumption,ITA,Italy,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,22.1
Tobacco consumption,ITA,Italy,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,21.1
Tobacco consumption,ITA,Italy,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,19.7
Tobacco consumption,ITA,Italy,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,19.8
Tobacco consumption,ITA,Italy,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,20
Tobacco consumption,ITA,Italy,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,19.9
Tobacco consumption,ITA,Italy,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,19.2
Tobacco consumption,ITA,Italy,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,18.6
Tobacco consumption,ITA,Italy,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,18.8
Tobacco consumption,ITA,Italy,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,19.1
Tobacco consumption,ITA,Italy,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2022,19.8
Tobacco consumption,NZL,New Zealand,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,16.4
Tobacco consumption,NZL,New Zealand,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,15.8
Tobacco consumption,NZL,New Zealand,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,15.9
Tobacco consumption,NZL,New Zealand,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,15.1
Tobacco consumption,NZL,New Zealand,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,14.5
Tobacco consumption,NZL,New Zealand,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,14.1
Tobacco consumption,NZL,New Zealand,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,13.3
Tobacco consumption,NZL,New Zealand,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,12.9
Tobacco consumption,NZL,New Zealand,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,11.9
Tobacco consumption,NZL,New Zealand,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,9.4
Tobacco consumption,NZL,New Zealand,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2022,8.6
Tobacco consumption,NZL,New Zealand,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2023,6.8
Tobacco consumption,FRA,France,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,14.8
Tobacco consumption,FRA,France,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,13.6
Tobacco consumption,FRA,France,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,13.5
Tobacco consumption,FRA,France,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,13.3
Tobacco consumption,FRA,France,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,13
Tobacco consumption,FRA,France,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,12.5
Tobacco consumption,FRA,France,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,13
Tobacco consumption,FRA,France,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,12.7
Tobacco consumption,CZE,Czechia,Tobacco consumption,15 years or over,Total,Grammes per person,2010,2367
Tobacco consumption,CZE,Czechia,Tobacco consumption,15 years or over,Total,Grammes per person,2011,2328
Tobacco consumption,CZE,Czechia,Tobacco consumption,15 years or over,Total,Grammes per person,2012,2284
Tobacco consumption,CZE,Czechia,Tobacco consumption,15 years or over,Total,Grammes per person,2013,2238
Tobacco consumption,CZE,Czechia,Tobacco consumption,15 years or over,Total,Grammes per person,2014,2297
Tobacco consumption,CZE,Czechia,Tobacco consumption,15 years or over,Total,Grammes per person,2015,2373
Tobacco consumption,CZE,Czechia,Tobacco consumption,15 years or over,Total,Grammes per person,2016,2350
Tobacco consumption,CZE,Czechia,Tobacco consumption,15 years or over,Total,Grammes per person,2017,2345
Tobacco consumption,CZE,Czechia,Tobacco consumption,15 years or over,Total,Grammes per person,2018,2367
Tobacco consumption,CZE,Czechia,Tobacco consumption,15 years or over,Total,Grammes per person,2019,2329
Tobacco consumption,CZE,Czechia,Tobacco consumption,15 years or over,Total,Grammes per person,2020,2256
Tobacco consumption,HRV,Croatia,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,25
Tobacco consumption,HRV,Croatia,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,22.1
Tobacco consumption,TUR,Türkiye,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,13.3
Tobacco consumption,TUR,Türkiye,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,19.2
Tobacco consumption,TUR,Türkiye,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,17.6
Tobacco consumption,TUR,Türkiye,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,17.3
Tobacco consumption,TUR,Türkiye,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,17.1
Tobacco consumption,TUR,Türkiye,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2022,17.8
Tobacco consumption,NLD,Netherlands,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,20.9
Tobacco consumption,NLD,Netherlands,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2011,20.8
Tobacco consumption,NLD,Netherlands,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,18.4
Tobacco consumption,NLD,Netherlands,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,18.5
Tobacco consumption,NLD,Netherlands,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,19.1
Tobacco consumption,NLD,Netherlands,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,19
Tobacco consumption,NLD,Netherlands,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,18
Tobacco consumption,NLD,Netherlands,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,16.8
Tobacco consumption,NLD,Netherlands,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,15.5
Tobacco consumption,NLD,Netherlands,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,15.4
Tobacco consumption,NLD,Netherlands,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,14.4
Tobacco consumption,NLD,Netherlands,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,14.7
Tobacco consumption,NLD,Netherlands,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2022,12.7
Tobacco consumption,ESP,Spain,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2011,21.7
Tobacco consumption,ESP,Spain,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,18.5
Tobacco consumption,ESP,Spain,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,17.6
Tobacco consumption,ESP,Spain,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2020,15.2
Tobacco consumption,CAN,Canada,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,16.3
Tobacco consumption,CAN,Canada,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2011,15.7
Tobacco consumption,CAN,Canada,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,16.1
Tobacco consumption,CAN,Canada,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,14.9
Tobacco consumption,CAN,Canada,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,14
Tobacco consumption,CAN,Canada,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,13.1
Tobacco consumption,CAN,Canada,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,12.5
Tobacco consumption,CAN,Canada,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,12
Tobacco consumption,CAN,Canada,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,11.3
Tobacco consumption,CAN,Canada,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,10.3
Tobacco consumption,CAN,Canada,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,9.4
Tobacco consumption,CAN,Canada,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,8.7
Tobacco consumption,CAN,Canada,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2022,9.4
Tobacco consumption,DEU,Germany,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,15.3
Tobacco consumption,DEU,Germany,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,15.3
Tobacco consumption,DEU,Germany,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,15.2
Tobacco consumption,DEU,Germany,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,15.4
Tobacco consumption,SVK,Slovak Republic,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,13
Tobacco consumption,SVK,Slovak Republic,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,13
Tobacco consumption,AUS,Australia,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1009
Tobacco consumption,AUS,Australia,Tobacco consumption,15 years or over,Total,Grammes per person,2011,971.7
Tobacco consumption,AUS,Australia,Tobacco consumption,15 years or over,Total,Grammes per person,2012,964.7
Tobacco consumption,AUS,Australia,Tobacco consumption,15 years or over,Total,Grammes per person,2013,915.8
Tobacco consumption,AUS,Australia,Tobacco consumption,15 years or over,Total,Grammes per person,2014,830.8
Tobacco consumption,AUS,Australia,Tobacco consumption,15 years or over,Total,Grammes per person,2015,790
Tobacco consumption,AUS,Australia,Tobacco consumption,15 years or over,Total,Grammes per person,2016,756.1
Tobacco consumption,AUS,Australia,Tobacco consumption,15 years or over,Total,Grammes per person,2017,677.3
Tobacco consumption,AUS,Australia,Tobacco consumption,15 years or over,Total,Grammes per person,2018,647
Tobacco consumption,AUS,Australia,Tobacco consumption,15 years or over,Total,Grammes per person,2019,690.5
Tobacco consumption,AUS,Australia,Tobacco consumption,15 years or over,Total,Grammes per person,2020,549.3
Tobacco consumption,BEL,Belgium,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,18.9
Tobacco consumption,BEL,Belgium,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,15.4
Tobacco consumption,ROU,Romania,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,13
Tobacco consumption,ROU,Romania,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,13.8
Tobacco consumption,EST,Estonia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,25.6
Tobacco consumption,EST,Estonia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,21.9
Tobacco consumption,EST,Estonia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,15.3
Tobacco consumption,EST,Estonia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,18.5
Tobacco consumption,EST,Estonia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2018,13.1
Tobacco consumption,EST,Estonia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2020,14.3
Tobacco consumption,EST,Estonia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2022,9.5
Tobacco consumption,NOR,Norway,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1123
Tobacco consumption,NOR,Norway,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1073
Tobacco consumption,NOR,Norway,Tobacco consumption,15 years or over,Total,Grammes per person,2012,948
Tobacco consumption,NOR,Norway,Tobacco consumption,15 years or over,Total,Grammes per person,2013,923
Tobacco consumption,NOR,Norway,Tobacco consumption,15 years or over,Total,Grammes per person,2014,837
Tobacco consumption,NOR,Norway,Tobacco consumption,15 years or over,Total,Grammes per person,2015,876
Tobacco consumption,NOR,Norway,Tobacco consumption,15 years or over,Total,Grammes per person,2016,926
Tobacco consumption,NOR,Norway,Tobacco consumption,15 years or over,Total,Grammes per person,2017,761
Tobacco consumption,NOR,Norway,Tobacco consumption,15 years or over,Total,Grammes per person,2018,793
Tobacco consumption,NOR,Norway,Tobacco consumption,15 years or over,Total,Grammes per person,2019,776
Tobacco consumption,NOR,Norway,Tobacco consumption,15 years or over,Total,Grammes per person,2020,893
Tobacco consumption,NOR,Norway,Tobacco consumption,15 years or over,Total,Grammes per person,2021,1115
Tobacco consumption,NOR,Norway,Tobacco consumption,15 years or over,Total,Grammes per person,2022,988
Tobacco consumption,NOR,Norway,Tobacco consumption,15 years or over,Total,Grammes per person,2023,853
Tobacco consumption,CZE,Czechia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,14.7
Tobacco consumption,CZE,Czechia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,12.3
Tobacco consumption,CZE,Czechia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,14
Tobacco consumption,CZE,Czechia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,10.9
Tobacco consumption,CZE,Czechia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,11.4
Tobacco consumption,CZE,Czechia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,11
Tobacco consumption,CZE,Czechia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,12.4
Tobacco consumption,CZE,Czechia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,12.3
Tobacco consumption,CZE,Czechia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,12.1
Tobacco consumption,CZE,Czechia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,11.2
Tobacco consumption,CZE,Czechia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,12.7
Tobacco consumption,CZE,Czechia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,10.9
Tobacco consumption,CZE,Czechia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2022,11.9
Tobacco consumption,AUS,Australia,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,15.3
Tobacco consumption,AUS,Australia,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,13
Tobacco consumption,AUS,Australia,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,12.4
Tobacco consumption,AUS,Australia,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,11.2
Tobacco consumption,AUS,Australia,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2022,8.5
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,15 years or over,Total,Grammes per person,2011,314.5
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,15 years or over,Total,Grammes per person,2012,314.7
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,15 years or over,Total,Grammes per person,2013,309.4
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,15 years or over,Total,Grammes per person,2014,244.7
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,15 years or over,Total,Grammes per person,2015,245.8
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,15 years or over,Total,Grammes per person,2016,226.6
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,15 years or over,Total,Grammes per person,2017,206.1
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,15 years or over,Total,Grammes per person,2018,200.4
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,15 years or over,Total,Grammes per person,2019,171.9
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,15 years or over,Total,Grammes per person,2020,147
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,15 years or over,Total,Grammes per person,2021,162.3
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,15 years or over,Total,Grammes per person,2022,127.7
Tobacco consumption,CRI,Costa Rica,Tobacco consumption,15 years or over,Total,Grammes per person,2023,106.2
Tobacco consumption,FRA,France,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,33.4
Tobacco consumption,FRA,France,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,27.9
Tobacco consumption,FRA,France,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,37.2
Tobacco consumption,FRA,France,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,36.7
Tobacco consumption,FRA,France,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,32
Tobacco consumption,FRA,France,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2018,31
Tobacco consumption,FRA,France,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,31.8
Tobacco consumption,FRA,France,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2020,31.7
Tobacco consumption,FRA,France,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,28.3
Tobacco consumption,CHE,Switzerland,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,10.6
Tobacco consumption,CHE,Switzerland,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,10
Tobacco consumption,CHE,Switzerland,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2022,9.2
Tobacco consumption,LVA,Latvia,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,24.6
Tobacco consumption,LVA,Latvia,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,22.6
Tobacco consumption,GRC,Greece,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,18.5
Tobacco consumption,GRC,Greece,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,14.4
Tobacco consumption,CHE,Switzerland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,22.7
Tobacco consumption,CHE,Switzerland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,19.5
Tobacco consumption,CHE,Switzerland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2022,13.5
Tobacco consumption,DEU,Germany,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2013,18.5
Tobacco consumption,DEU,Germany,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,14.2
Tobacco consumption,DEU,Germany,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,9.9
Tobacco consumption,ESP,Spain,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,13.8
Tobacco consumption,ESP,Spain,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,13.2
Tobacco consumption,ESP,Spain,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,12.3
Tobacco consumption,ESP,Spain,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,12
Tobacco consumption,GBR,United Kingdom,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,23.1
Tobacco consumption,GBR,United Kingdom,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2011,24.2
Tobacco consumption,GBR,United Kingdom,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,22.2
Tobacco consumption,GBR,United Kingdom,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2013,23.4
Tobacco consumption,GBR,United Kingdom,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,23.1
Tobacco consumption,GBR,United Kingdom,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2015,23.5
Tobacco consumption,GBR,United Kingdom,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,16.6
Tobacco consumption,GBR,United Kingdom,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,19.9
Tobacco consumption,GBR,United Kingdom,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2018,23.6
Tobacco consumption,GBR,United Kingdom,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,18.3
Tobacco consumption,GBR,United Kingdom,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2020,15.2
Tobacco consumption,GBR,United Kingdom,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,13.1
Tobacco consumption,GBR,United Kingdom,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2022,10.5
Tobacco consumption,BRA,Brazil,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,14.1
Tobacco consumption,BRA,Brazil,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2011,13.4
Tobacco consumption,BRA,Brazil,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,12.1
Tobacco consumption,BRA,Brazil,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,11.3
Tobacco consumption,BRA,Brazil,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,10.8
Tobacco consumption,BRA,Brazil,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,10.4
Tobacco consumption,BRA,Brazil,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,10.2
Tobacco consumption,BRA,Brazil,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,10.1
Tobacco consumption,BRA,Brazil,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,9.3
Tobacco consumption,BRA,Brazil,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,9.8
Tobacco consumption,BRA,Brazil,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,9.5
Tobacco consumption,BRA,Brazil,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,9.1
Tobacco consumption,LTU,Lithuania,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,20.3
Tobacco consumption,LTU,Lithuania,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,18.9
Tobacco consumption,EST,Estonia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,13
Tobacco consumption,EST,Estonia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,13
Tobacco consumption,EST,Estonia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,12
Tobacco consumption,EST,Estonia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,13
Tobacco consumption,EST,Estonia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,12
Tobacco consumption,EST,Estonia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,12
Tobacco consumption,EST,Estonia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2022,12
Tobacco consumption,LUX,Luxembourg,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,18.3
Tobacco consumption,LUX,Luxembourg,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2011,16.9
Tobacco consumption,LUX,Luxembourg,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,16.8
Tobacco consumption,LUX,Luxembourg,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,15.7
Tobacco consumption,LUX,Luxembourg,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,15.3
Tobacco consumption,LUX,Luxembourg,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,15
Tobacco consumption,LUX,Luxembourg,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,14.9
Tobacco consumption,LUX,Luxembourg,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,16
Tobacco consumption,LUX,Luxembourg,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,14.5
Tobacco consumption,LUX,Luxembourg,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,16.8
Tobacco consumption,LUX,Luxembourg,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,16.9
Tobacco consumption,LUX,Luxembourg,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,19.2
Tobacco consumption,LUX,Luxembourg,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2022,20.3
Tobacco consumption,LUX,Luxembourg,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2023,18.1
Tobacco consumption,POL,Poland,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1229
Tobacco consumption,POL,Poland,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1205
Tobacco consumption,BEL,Belgium,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,15.9
Tobacco consumption,BEL,Belgium,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,14.8
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,19
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,19
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,18
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,17
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,14
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,16
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2022,14
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2023,14
Tobacco consumption,FIN,Finland,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,14.3
Tobacco consumption,FIN,Finland,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,14
Tobacco consumption,FIN,Finland,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,14.3
Tobacco consumption,FIN,Finland,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,13.3
Tobacco consumption,FIN,Finland,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,14.1
Tobacco consumption,MEX,Mexico,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2011,10.3
Tobacco consumption,MEX,Mexico,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,11.8
Tobacco consumption,MEX,Mexico,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,7.6
Tobacco consumption,MEX,Mexico,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,6.4
Tobacco consumption,MEX,Mexico,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,7.7
Tobacco consumption,MEX,Mexico,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,7.4
Tobacco consumption,MEX,Mexico,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,8.6
