REF_AREA,Reference area,Measure,Unit of measure,Age,Sex,TIME_PERIOD,OBS_VALUE
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,248.1
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,257.3
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,268.4
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,229.3
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,211.7
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,216.6
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,209.8
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,192.6
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,206.3
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,119.7
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,190
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,197.9
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,208.6
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,219.4
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,215.2
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,217.7
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,239.4
NLD,Netherlands,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,63
NLD,Netherlands,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,64.5
NLD,Netherlands,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,71.9
NLD,Netherlands,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,69.4
NLD,Netherlands,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,73.9
NLD,Netherlands,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,69.8
NLD,Netherlands,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,70.3
NLD,Netherlands,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,69.9
NLD,Netherlands,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,75.4
NLD,Netherlands,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,47
NLD,Netherlands,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,52.9
NLD,Netherlands,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,55.1
NLD,Netherlands,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,59.7
SGP,Singapore,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,440.2
SGP,Singapore,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,446.3
SGP,Singapore,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,444.4
SGP,Singapore,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,415.1
SGP,Singapore,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,263.4
SGP,Singapore,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,262.3
SGP,Singapore,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,260.7
SGP,Singapore,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,285
SGP,Singapore,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,303.6
SGP,Singapore,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,394.8
SGP,Singapore,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,441.4
SGP,Singapore,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,472.5
SGP,Singapore,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,489.5
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,151.5
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,159.2
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,161.5
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,169.7
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,175
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,189.4
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,196.5
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,199.5
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,204
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,100.8
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,116.7
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,120.3
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,124.6
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,126.9
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,136.6
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,140.6
HRV,Croatia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,165.3
HRV,Croatia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,176
USA,United States,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,204.8
USA,United States,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,173.2
USA,United States,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,195.6
USA,United States,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,230.9
USA,United States,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,248.5
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,156.3
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,163.1
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,169.2
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,183.8
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,195.4
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,192.8
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,201.9
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,200.8
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,205.4
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,110.6
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,123.1
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,127
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,132.8
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,142.3
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,146.2
SVN,Slovenia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,107.2
SVN,Slovenia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,103.9
SVN,Slovenia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,91.7
SVN,Slovenia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,106.3
SVN,Slovenia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,116.1
SVN,Slovenia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,108.7
SVN,Slovenia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,113
SVN,Slovenia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,107.6
SVN,Slovenia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,113.4
SVN,Slovenia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,90.7
SVN,Slovenia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,112.2
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,230.5
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,255.3
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,274.5
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,288.3
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,329
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,325.8
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,353.2
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,379.1
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2000,400.6
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,107.5
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,115
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,114.1
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,120.5
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,117
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,145
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,150.4
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,158.8
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,169.8
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,175.3
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,194.8
MEX,Mexico,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,275.6
MEX,Mexico,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,289.6
MEX,Mexico,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,301.9
MEX,Mexico,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,325.2
MEX,Mexico,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,334.7
MEX,Mexico,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,351.9
MEX,Mexico,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,363.2
MEX,Mexico,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,371.9
MEX,Mexico,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,376.5
MEX,Mexico,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,143.2
MEX,Mexico,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,231.3
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,66.4
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,69.3
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,69.7
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,69.5
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,70
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,69.2
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,70.2
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,71.7
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2000,71
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,52
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,52.3
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,51.4
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,46.9
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,45.8
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,48.6
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,50.2
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,52.6
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,56
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,60.1
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,63.4
SWE,Sweden,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,128.6
SWE,Sweden,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,142.5
SWE,Sweden,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,134.5
SWE,Sweden,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,142.1
SWE,Sweden,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,148.8
SWE,Sweden,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,57.4
SWE,Sweden,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,64.9
SWE,Sweden,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,81
SWE,Sweden,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,82.1
SWE,Sweden,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,89.7
SWE,Sweden,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,98.4
SWE,Sweden,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,104.8
SWE,Sweden,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,110.9
MLT,Malta,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,182.8
MLT,Malta,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,190.3
MLT,Malta,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,136
MLT,Malta,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,182.1
MLT,Malta,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,192.3
MLT,Malta,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,225.8
TUR,Türkiye,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,256.7
TUR,Türkiye,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,235.4
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,237.9
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,243.9
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,243.1
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,251.9
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,259.4
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,214.6
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,218.5
LVA,Latvia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,141.5
LVA,Latvia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,141.8
LVA,Latvia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,129.9
LVA,Latvia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,127.3
LVA,Latvia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,123
LVA,Latvia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,119
LVA,Latvia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,135.4
LVA,Latvia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,131.7
LVA,Latvia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,130
KOR,Korea,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,274.8
KOR,Korea,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,279.4
KOR,Korea,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,293
KOR,Korea,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,306.5
KOR,Korea,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,319.9
KOR,Korea,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,340.9
KOR,Korea,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,364.6
KOR,Korea,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,371.6
KOR,Korea,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,369.8
KOR,Korea,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,201.3
KOR,Korea,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,237.3
KOR,Korea,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,251.2
SVK,Slovak Republic,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,188.1
SVK,Slovak Republic,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,213.6
SVK,Slovak Republic,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,224.3
SVK,Slovak Republic,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,229
SVK,Slovak Republic,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,215.5
SVK,Slovak Republic,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,212.9
SVK,Slovak Republic,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,225.2
SVK,Slovak Republic,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,226
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,273.7
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,51.6
CRI,Costa Rica,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,162.5
LTU,Lithuania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,246.7
NZL,New Zealand,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,170.4
COL,Colombia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,50.7
JPN,Japan,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,20
CAN,Canada,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,98.8
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,195.9
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,59.7
FRA,France,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,155.6
EST,Estonia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,123.4
AUS,Australia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,148.8
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,196.3
PRT,Portugal,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,54.1
CZE,Czechia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,154.4
NOR,Norway,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,78.5
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,163.6
HUN,Hungary,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,148.7
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,95
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,75
ROU,Romania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,353.2
GBR,United Kingdom,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,73
POL,Poland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,241.2
NLD,Netherlands,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,60.6
SGP,Singapore,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,450.9
CHL,Chile,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,143.6
HRV,Croatia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,100.2
USA,United States,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,231.3
DNK,Denmark,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,154
SVN,Slovenia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,112
FIN,Finland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,209.5
MEX,Mexico,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,258
ESP,Spain,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,64.6
SWE,Sweden,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,118.2
MLT,Malta,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,170.4
TUR,Türkiye,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,236.1
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,228
LVA,Latvia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,123.4
KOR,Korea,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,260.1
SVK,Slovak Republic,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,235.8
