REF_AREA,Reference area,Frequency of observation,Measure,Unit of measure,Age,Sex,Statistical operation,TIME_PERIOD,OBS_VALUE
MEX,Mexico,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,176
MEX,Mexico,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,174.8
MEX,Mexico,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,167
MEX,Mexico,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,66.7
MEX,Mexico,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,116.8
PRT,Portugal,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,101.9
PRT,Portugal,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,113.1
PRT,Portugal,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,132.5
PRT,Portugal,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,194.9
PRT,Portugal,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,197
PRT,Portugal,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,230.8
PRT,Portugal,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,201.3
PRT,Portugal,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,207.3
PRT,Portugal,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,223.2
NOR,Norway,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,224.1
NOR,Norway,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,215.2
NOR,Norway,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,212.5
NOR,Norway,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,233.8
NOR,Norway,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,236
NOR,Norway,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,216
NOR,Norway,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,234
NOR,Norway,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,245.9
NOR,Norway,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,245.6
NOR,Norway,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,219
NOR,Norway,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,215.9
NOR,Norway,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,214.4
KOR,Korea,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,208.2
KOR,Korea,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,218.7
KOR,Korea,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,227.4
KOR,Korea,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,235.4
KOR,Korea,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,257.2
KOR,Korea,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,279.5
KOR,Korea,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,326.4
KOR,Korea,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,336
KOR,Korea,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,331.4
KOR,Korea,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,141.9
KOR,Korea,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,173.7
KOR,Korea,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,186.2
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,612
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,642.3
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,738.4
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,761.4
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,765.9
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2005,749.6
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2004,776.6
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2003,779.8
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2002,768.7
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,358
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,447
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,442.7
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,467.7
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,506.1
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,520.8
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,565.6
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,560
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,594.1
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,789.9
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,794.4
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,833.6
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,782.4
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,735.4
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,770.1
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2005,728.1
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2004,729.4
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2003,679.4
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,544.9
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,794.7
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,805.4
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,825.9
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,725.7
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,706.1
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,752.3
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,742.6
USA,United States,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,486.9
USA,United States,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,444.7
USA,United States,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,421.6
USA,United States,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,407.4
USA,United States,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,488.5
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,128
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,125.5
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,132.2
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2005,125.7
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2004,151.6
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2003,137.5
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2002,139.7
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2001,146.9
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2000,168.3
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,69.3
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,74.9
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,84
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,88.4
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,86.1
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,106.3
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,117.2
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,114.3
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,224.4
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,230
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,239.3
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2005,244.5
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2004,243.4
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2003,241.5
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2002,240.7
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2001,242.6
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2000,243.4
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,154.1
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,199.7
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,193.3
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,191.5
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,177.1
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,218.8
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,217.8
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,216.6
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,216.7
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,220.9
HRV,Croatia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,183.3
HRV,Croatia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,186.1
HUN,Hungary,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,488.4
HUN,Hungary,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,517.2
HUN,Hungary,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,542.4
HUN,Hungary,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,466.9
HUN,Hungary,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,504.7
HUN,Hungary,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,557.7
HUN,Hungary,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,714.6
HUN,Hungary,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2005,710.7
ROU,Romania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,528
ROU,Romania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,629.3
ROU,Romania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,132.5
ROU,Romania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,315.7
ROU,Romania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,345.5
ROU,Romania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,399.2
CAN,Canada,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,191.8
CAN,Canada,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,195.9
CAN,Canada,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,194.6
CAN,Canada,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,209
CAN,Canada,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,201.8
CAN,Canada,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,203.9
CAN,Canada,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,204.1
CAN,Canada,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,210.5
CAN,Canada,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,227.2
CAN,Canada,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,167.7
CAN,Canada,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,195.1
CAN,Canada,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,200.8
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,468.5
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,484.4
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,488.4
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2005,485.1
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2004,512.7
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2003,469.9
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2002,457.5
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2001,475.2
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2000,480.1
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,347.5
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,369.6
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,359.7
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,391.4
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,364.1
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,427.1
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,428
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,411.6
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,434.8
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,442.8
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,454.8
DEU,Germany,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2005,615.7
DEU,Germany,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,693.1
DEU,Germany,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,694.6
DEU,Germany,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,709.9
DEU,Germany,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,700.1
DEU,Germany,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,691
DEU,Germany,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,676.4
GBR,United Kingdom,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,121.8
GBR,United Kingdom,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,140.8
GBR,United Kingdom,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,142.4
GBR,United Kingdom,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,143.2
GBR,United Kingdom,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,144.7
GBR,United Kingdom,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,146.5
GBR,United Kingdom,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,116.9
GBR,United Kingdom,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,134.8
GBR,United Kingdom,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,127.8
GBR,United Kingdom,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,122.8
GBR,United Kingdom,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,120.4
GBR,United Kingdom,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,122.5
GBR,United Kingdom,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,116.1
GBR,United Kingdom,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,127.3
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,230.8
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,205.4
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,223.6
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2005,215.7
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2004,225
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2003,224
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2002,257
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2001,228.1
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2000,236.2
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,203.8
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,199.6
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,200.7
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,187
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,205.4
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,220.5
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,208.2
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,208.3
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,205.9
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,205.2
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,203.2
SGP,Singapore,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,305.9
SGP,Singapore,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,309
SGP,Singapore,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,313.3
SGP,Singapore,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,326.2
SGP,Singapore,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,374.6
SGP,Singapore,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,341.2
SGP,Singapore,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,336.7
SGP,Singapore,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,359
SGP,Singapore,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,359.1
SGP,Singapore,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,212
SGP,Singapore,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,239.7
SGP,Singapore,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,270.1
SGP,Singapore,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,272.8
