STRUCTURE_NAME,ACTION,REF_AREA,Reference area,Unit of measure,Sex,Cause of death,TIME_PERIOD,OBS_VALUE
Causes of mortality,I,AUS,Australia,Deaths per 100 000 inhabitants,Total,Diseases of the respiratory system,2002,77
Causes of mortality,I,AUS,Australia,Deaths per 100 000 inhabitants,Total,Diseases of the respiratory system,2001,72.3
Causes of mortality,I,AUS,Australia,Deaths per 100 000 inhabitants,Total,Diseases of the respiratory system,2000,78
Causes of mortality,I,AUS,Australia,Deaths per 100 000 inhabitants,Total,Diseases of the respiratory system,2020,49.7
Causes of mortality,I,AUS,Australia,Deaths per 100 000 inhabitants,Total,Diseases of the respiratory system,2019,66.8
Causes of mortality,I,AUS,Australia,Deaths per 100 000 inhabitants,Total,Diseases of the respiratory system,2018,60.1
Causes of mortality,I,AUS,Australia,Deaths per 100 000 inhabitants,Total,Diseases of the respiratory system,2017,70.2
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2007,3.2
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2006,3.5
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2010,3.4
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2009,3.4
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2008,2.3
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2003,2.6
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2002,3
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2001,4.2
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2000,2.5
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2016,3.1
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2015,2.2
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2014,3.5
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2013,3.1
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2012,3
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2011,3
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2005,2.9
Causes of mortality,I,NOR,Norway,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2004,3
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2015,870.2
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2014,864.3
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2013,904.9
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2012,914.1
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2011,933
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2010,979.7
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2009,1003.5
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2008,1009.7
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2007,1040.4
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2006,1051.4
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2005,1056.4
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2004,1087.6
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2003,1129.8
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2002,1155.4
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2001,1146.2
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2000,1144
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2020,815.1
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2019,823.2
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2018,863.2
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2017,848.2
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Total,Total,2016,858
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2018,422.4
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2017,437
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2016,448.7
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2015,495.6
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2014,478.1
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2013,515.1
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2012,527.7
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2011,519.2
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2010,548.4
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2009,582.8
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2008,582.4
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2007,597
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2006,607.4
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2005,628.3
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2004,648.4
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2003,683.1
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2002,673.7
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2001,702
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2000,719.1
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2020,428.5
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Total,Diseases of the circulatory system,2019,404.8
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2015,177.2
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2014,177.4
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2003,207
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2002,208.9
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2001,207.6
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2000,216.8
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2013,181.1
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2012,187.1
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2011,185.5
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2010,184.8
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2009,191
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2008,185.5
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2007,188.7
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2006,195.4
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2005,200.6
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2004,202.3
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2020,161.9
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2019,166.7
Causes of mortality,I,USA,United States,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2004,35.1
Causes of mortality,I,USA,United States,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2020,37.9
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Neoplasms,2016,172.9
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2015,72.8
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2014,69.8
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2003,42.7
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2002,47.7
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2001,34.6
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2000,43.2
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2013,78.3
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2012,69.3
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2011,69.5
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2010,66
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2009,75.5
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2008,67.4
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2007,68.5
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2006,50
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2005,62.1
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2004,55
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2020,68.2
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2019,80.7
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2018,87.3
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2017,78.9
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2016,84.6
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2015,31.9
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2014,31.1
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2013,33.5
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2012,32.1
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2011,31.5
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2010,32.5
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2009,30.6
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2008,29
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2007,30.9
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2006,27.5
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2005,27.1
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2004,26
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2003,24.9
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2002,24
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2001,23.9
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2000,17.6
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2020,31
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2019,30.6
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2018,31.8
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2017,31.1
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2016,30
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2015,1410.5
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2014,1375.5
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2003,1767.6
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2002,1748.6
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2001,1795.6
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2000,1844.2
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2013,1451.4
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2012,1479.4
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2011,1480
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2010,1527.6
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2009,1603.8
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2008,1616.2
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2007,1647.6
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2006,1655.7
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2005,1697.1
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2004,1720.3
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2020,1566.1
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2019,1340.3
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2018,1358.6
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2017,1373.5
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Total,2016,1357.4
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2017,450.4
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2016,436.7
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2003,747.3
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2002,741.1
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2001,765.3
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2000,750.2
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2014,456.5
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2013,497.3
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2012,502.9
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2010,634.6
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2009,638.5
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2008,652.2
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2007,689.3
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2006,710.8
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2005,736.7
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2004,722.3
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2020,414.8
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2019,392.2
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2018,418.6
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2015,0.6
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2014,0.7
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2003,2.1
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2002,2.3
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2001,2.4
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2000,2.2
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2013,0.8
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2012,0.7
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2011,1
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2010,1.3
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2009,1.3
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2008,1.5
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2007,1.6
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2006,1.8
Causes of mortality,I,AUT,Austria,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2003,39.2
Causes of mortality,I,AUT,Austria,Deaths per 100 000 inhabitants,Male,Diseases of the nervous system,2001,19.2
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2020,0.8
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2019,0.7
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2018,0.9
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2017,0.9
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the blood and blood-forming organs,2016,0.9
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2015,894.7
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2014,881.2
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2013,935.5
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2012,937.9
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2011,964.7
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2010,998.2
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2009,1006.4
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2008,1040.4
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2007,1097.9
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2006,1096.5
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2005,1118.1
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2004,1056.7
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2003,1104.1
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2002,1104.1
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2001,1080.8
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2000,1023.6
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2020,850
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2019,771
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2018,812
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2017,843.2
Causes of mortality,I,LTU,Lithuania,Deaths per 100 000 inhabitants,Male,Diseases of the circulatory system,2016,885.5
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2015,3.2
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2014,2.8
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2003,2.9
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2002,3
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2001,2.8
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2000,3
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2013,2.7
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2012,2.7
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2011,2.8
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2010,2.8
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2009,2.9
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2008,2.7
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2007,2.6
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2006,2.6
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2005,2.8
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2004,2.9
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2020,2.9
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2019,2.8
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2018,2.7
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2017,2.9
Causes of mortality,I,ESP,Spain,Deaths per 100 000 inhabitants,Female,Diseases of the blood and blood-forming organs,2016,2.9
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2002,705.1
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2001,711.5
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2011,604.7
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2010,613.6
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2009,628
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2008,629.1
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2000,739.4
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2020,610
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2019,566.1
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2018,572.3
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2017,578.4
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2016,577.5
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2015,607.5
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2014,585.9
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2013,610.5
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2012,617.9
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2005,666.9
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2004,675.8
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2007,639.9
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2006,646.4
Causes of mortality,I,CHE,Switzerland,Deaths per 100 000 inhabitants,Female,Total,2003,718
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2015,29.8
