STRUCTURE_NAME,REF_AREA,Reference area,Measure,Age,Sex,Unit of measure,Measurement method,TIME_PERIOD,OBS_VALUE
Body weight,JPN,Japan,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2017,25.9
Body weight,JPN,Japan,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2018,26.7
Body weight,JPN,Japan,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2019,27.2
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Measured,2010,26.1
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Measured,2011,26.4
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Measured,2012,27.2
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Measured,2013,26.8
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Measured,2014,26.4
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Measured,2015,28.1
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Measured,2016,29
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Measured,2017,28.4
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Measured,2018,28.4
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Measured,2019,27.9
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Measured,2020,30.5
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Measured,2021,29.7
Body weight,FRA,France,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2015,49
Body weight,FRA,France,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2017,46.4
Body weight,SVN,Slovenia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,36.4
Body weight,SVN,Slovenia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,37.1
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2010,2
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2011,2.1
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2012,2.2
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2013,2.4
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,2.6
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2015,2.8
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2016,3.2
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,3.4
Body weight,KOR,Korea,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2018,4.3
Body weight,FRA,France,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,17
Body weight,FRA,France,Share of population who are obese,Total,Total,Percentage of population,Measured,2017,15.6
Body weight,COL,Colombia,Share of population who are overweight,Total,Total,Percentage of population,Measured,2010,34.6
Body weight,COL,Colombia,Share of population who are overweight,Total,Total,Percentage of population,Measured,2015,37.8
Body weight,IND,India,Share of population who are obese,Total,Total,Percentage of population,Measured,2010,2.7
Body weight,IND,India,Share of population who are obese,Total,Total,Percentage of population,Measured,2011,2.9
Body weight,IND,India,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,3
Body weight,IND,India,Share of population who are obese,Total,Total,Percentage of population,Measured,2013,3.2
Body weight,IND,India,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,3.4
Body weight,IND,India,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,3.6
Body weight,IND,India,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,3.8
Body weight,CHL,Chile,Share of population who are overweight,Total,Total,Percentage of population,Measured,2016,39.8
Body weight,TUR,Türkiye,Share of population who are obese,Total,Total,Percentage of population,Measured,2011,22.3
Body weight,TUR,Türkiye,Share of population who are obese,Total,Total,Percentage of population,Measured,2017,28.8
Body weight,ZAF,South Africa,Share of population who are obese,Total,Total,Percentage of population,Measured,2010,23.3
Body weight,ZAF,South Africa,Share of population who are obese,Total,Total,Percentage of population,Measured,2011,23.9
Body weight,ZAF,South Africa,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,24.5
Body weight,ZAF,South Africa,Share of population who are obese,Total,Total,Percentage of population,Measured,2013,25.1
Body weight,ZAF,South Africa,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,25.8
Body weight,ZAF,South Africa,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,26.4
Body weight,ZAF,South Africa,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,27
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2010,50.6
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2011,50.5
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2012,50.9
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2013,52.1
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,52.5
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2015,52.4
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2016,53.1
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2017,53.8
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2018,53.8
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,54.2
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2020,54.4
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2021,55.5
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2022,55.7
Body weight,DEU,Germany,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2012,60
Body weight,CHN,China (People’s Republic of),Share of population who are obese,Total,Total,Percentage of population,Measured,2010,4.5
Body weight,CHN,China (People’s Republic of),Share of population who are obese,Total,Total,Percentage of population,Measured,2011,4.8
Body weight,CHN,China (People’s Republic of),Share of population who are obese,Total,Total,Percentage of population,Measured,2012,5.1
Body weight,CHN,China (People’s Republic of),Share of population who are obese,Total,Total,Percentage of population,Measured,2013,5.5
Body weight,CHN,China (People’s Republic of),Share of population who are obese,Total,Total,Percentage of population,Measured,2014,5.8
Body weight,CHN,China (People’s Republic of),Share of population who are obese,Total,Total,Percentage of population,Measured,2015,6.2
Body weight,CHN,China (People’s Republic of),Share of population who are obese,Total,Total,Percentage of population,Measured,2016,6.6
Body weight,ROU,Romania,Share of population who are obese,Total,Total,Percentage of population,Measured,2010,21
Body weight,ROU,Romania,Share of population who are obese,Total,Total,Percentage of population,Measured,2011,21.5
Body weight,ROU,Romania,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,22.1
Body weight,ROU,Romania,Share of population who are obese,Total,Total,Percentage of population,Measured,2013,22.7
Body weight,ROU,Romania,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,23.3
Body weight,ROU,Romania,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,23.9
Body weight,ROU,Romania,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,24.5
Body weight,NOR,Norway,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2012,46
Body weight,NOR,Norway,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2015,46
Body weight,NOR,Norway,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,48
Body weight,NOR,Norway,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2022,52
Body weight,DEU,Germany,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,23.6
Body weight,CZE,Czechia,Share of population who are obese,Total,Total,Percentage of population,Measured,2010,21
Body weight,LTU,Lithuania,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,53.3
Body weight,LTU,Lithuania,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,55
Body weight,LTU,Lithuania,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2022,58.5
Body weight,HRV,Croatia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,18
Body weight,HRV,Croatia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,22.6
Body weight,BRA,Brazil,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2010,48.1
Body weight,BRA,Brazil,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2011,48.5
Body weight,BRA,Brazil,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2012,51
Body weight,BRA,Brazil,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2013,50.8
Body weight,BRA,Brazil,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,52.2
Body weight,BRA,Brazil,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2015,52.3
Body weight,BRA,Brazil,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2016,53.8
Body weight,BRA,Brazil,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2017,54
Body weight,BRA,Brazil,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2018,55.7
Body weight,BRA,Brazil,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,55.4
Body weight,BRA,Brazil,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2020,57.5
Body weight,BRA,Brazil,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2021,57.2
Body weight,CHE,Switzerland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2012,30.8
Body weight,CHE,Switzerland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,30.6
Body weight,CHE,Switzerland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2022,30.8
Body weight,EST,Estonia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2010,31.7
Body weight,EST,Estonia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2012,29.9
Body weight,EST,Estonia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,32.5
Body weight,EST,Estonia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2016,32.5
Body weight,EST,Estonia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2018,31.6
Body weight,EST,Estonia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2020,31.1
Body weight,EST,Estonia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2022,31.7
Body weight,AUS,Australia,Share of population who are overweight,Total,Total,Percentage of population,Measured,2011,35
Body weight,AUS,Australia,Share of population who are overweight,Total,Total,Percentage of population,Measured,2014,35.5
Body weight,AUS,Australia,Share of population who are overweight,Total,Total,Percentage of population,Measured,2017,34.8
Body weight,AUS,Australia,Share of population who are overweight,Total,Total,Percentage of population,Measured,2022,33.3
Body weight,IRL,Ireland,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2015,61
Body weight,IRL,Ireland,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2017,62
Body weight,IRL,Ireland,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2019,61
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2010,68.8
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2012,68.6
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2014,70.1
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2016,71
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2018,73.1
Body weight,ITA,Italy,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2010,10.3
Body weight,ITA,Italy,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2011,10
Body weight,ITA,Italy,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2012,10.4
Body weight,ITA,Italy,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2013,10.3
Body weight,ITA,Italy,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,10.3
Body weight,ITA,Italy,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2015,9.8
Body weight,ITA,Italy,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2016,10.4
Body weight,ITA,Italy,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,10.6
Body weight,ITA,Italy,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2018,10.7
Body weight,ITA,Italy,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,11
Body weight,ITA,Italy,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2020,11.5
Body weight,ITA,Italy,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2021,12
Body weight,EST,Estonia,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,18
Body weight,FRA,France,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2010,29.9
Body weight,FRA,France,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2012,29.9
Body weight,FRA,France,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,30.8
Body weight,FRA,France,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,30.7
Body weight,FRA,France,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,30.9
Body weight,ESP,Spain,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2011,36.1
Body weight,ESP,Spain,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,35.1
Body weight,ESP,Spain,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,36.2
Body weight,ESP,Spain,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2020,35.3
Body weight,GBR,United Kingdom,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,35.2
Body weight,GBR,United Kingdom,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2021,37.8
Body weight,HUN,Hungary,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2014,62.3
Body weight,HUN,Hungary,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2019,67.6
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2010,34.1
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2011,34.1
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2012,33.5
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2013,34.2
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,33.8
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2015,37.3
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2016,37
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,38
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2018,35
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,36
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2020,37
Body weight,FIN,Finland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2022,37
Body weight,IRL,Ireland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2015,18
Body weight,IRL,Ireland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,26
Body weight,IRL,Ireland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2022,21
Body weight,AUT,Austria,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,46.7
Body weight,AUT,Austria,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,51.1
Body weight,NZL,New Zealand,Share of population who are overweight,Total,Total,Percentage of population,Measured,2012,35.6
Body weight,NZL,New Zealand,Share of population who are overweight,Total,Total,Percentage of population,Measured,2013,33.9
Body weight,NZL,New Zealand,Share of population who are overweight,Total,Total,Percentage of population,Measured,2014,35.1
Body weight,NZL,New Zealand,Share of population who are overweight,Total,Total,Percentage of population,Measured,2015,34.9
Body weight,NZL,New Zealand,Share of population who are overweight,Total,Total,Percentage of population,Measured,2016,35.2
Body weight,NZL,New Zealand,Share of population who are overweight,Total,Total,Percentage of population,Measured,2017,34.5
Body weight,NZL,New Zealand,Share of population who are overweight,Total,Total,Percentage of population,Measured,2018,34.6
Body weight,NZL,New Zealand,Share of population who are overweight,Total,Total,Percentage of population,Measured,2019,34.2
Body weight,NZL,New Zealand,Share of population who are overweight,Total,Total,Percentage of population,Measured,2020,35.2
Body weight,NZL,New Zealand,Share of population who are overweight,Total,Total,Percentage of population,Measured,2021,33.7
Body weight,AUS,Australia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2017,47.6
Body weight,AUS,Australia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2022,58.6
Body weight,NLD,Netherlands,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2010,48.2
Body weight,NLD,Netherlands,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2011,48.2
Body weight,NLD,Netherlands,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2012,47.9
Body weight,NLD,Netherlands,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2013,45.6
Body weight,NLD,Netherlands,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,48.2
Body weight,NLD,Netherlands,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2015,47.4
Body weight,NLD,Netherlands,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2016,47.6
Body weight,NLD,Netherlands,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2017,47.3
Body weight,NLD,Netherlands,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2018,48.5
Body weight,NLD,Netherlands,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,48.4
Body weight,NLD,Netherlands,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2020,48.4
Body weight,NLD,Netherlands,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2021,48.5
Body weight,NLD,Netherlands,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2022,48.7
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Body weight,LUX,Luxembourg,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,48
Body weight,LUX,Luxembourg,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,48.4
Body weight,BEL,Belgium,Share of population who are overweight,Total,Total,Percentage of population,Measured,2014,32.4
Body weight,BEL,Belgium,Share of population who are overweight,Total,Total,Percentage of population,Measured,2018,34.2
Body weight,HUN,Hungary,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,33.3
Body weight,HUN,Hungary,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,36.3
Body weight,HUN,Hungary,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,34.3
Body weight,GBR,United Kingdom,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2021,63.8
Body weight,PRT,Portugal,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,36.4
Body weight,PRT,Portugal,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,37.6
Body weight,PRT,Portugal,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,36.6
Body weight,PRT,Portugal,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2022,37.3
Body weight,CRI,Costa Rica,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,24.4
Body weight,CRI,Costa Rica,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,29.4
Body weight,CRI,Costa Rica,Share of population who are obese,Total,Total,Percentage of population,Measured,2018,31.2
Body weight,ARG,Argentina,Share of population who are obese,Total,Total,Percentage of population,Measured,2010,25.3
Body weight,ARG,Argentina,Share of population who are obese,Total,Total,Percentage of population,Measured,2011,25.8
Body weight,ARG,Argentina,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,26.3
Body weight,ARG,Argentina,Share of population who are obese,Total,Total,Percentage of population,Measured,2013,26.9
Body weight,ARG,Argentina,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,27.4
Body weight,ARG,Argentina,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,28
Body weight,ARG,Argentina,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,28.5
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2010,35
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2011,34.8
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2012,35
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2013,34.6
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,34.8
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2015,33.9
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2016,35.1
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,34.7
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2018,34.6
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,34
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2020,34
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2021,34
Body weight,GBR,United Kingdom,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,20.1
Body weight,GBR,United Kingdom,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,21
Body weight,GBR,United Kingdom,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2021,25.9
Body weight,GRC,Greece,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,56.2
Body weight,GRC,Greece,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,57.2
Body weight,POL,Poland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,53.3
Body weight,POL,Poland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,56.6
Body weight,HUN,Hungary,Share of population who are overweight,Total,Total,Percentage of population,Measured,2014,32.3
Body weight,HUN,Hungary,Share of population who are overweight,Total,Total,Percentage of population,Measured,2019,34.4
Body weight,LVA,Latvia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2010,15.5
Body weight,LVA,Latvia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2012,17.5
Body weight,LVA,Latvia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,18.8
Body weight,LVA,Latvia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,21.6
Body weight,CZE,Czechia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,36.7
Body weight,CZE,Czechia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,39.1
Body weight,GRC,Greece,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,17
Body weight,GRC,Greece,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,16.4
Body weight,PRT,Portugal,Share of population who are overweight,Total,Total,Percentage of population,Measured,2015,38.9
Body weight,HRV,Croatia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,37.8
Body weight,HRV,Croatia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,41.2
Body weight,HUN,Hungary,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,21.2
Body weight,HUN,Hungary,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,20
Body weight,HUN,Hungary,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,23.9
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2010,22.6
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2011,23.3
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2012,24.1
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2013,24.4
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,25
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2015,26.1
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2016,27.3
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2017,27.7
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2018,30.6
Body weight,GBR,United Kingdom,Share of population who are obese,Total,Total,Percentage of population,Measured,2010,26.1
Body weight,GBR,United Kingdom,Share of population who are obese,Total,Total,Percentage of population,Measured,2011,24.8
Body weight,GBR,United Kingdom,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,24.7
Body weight,GBR,United Kingdom,Share of population who are obese,Total,Total,Percentage of population,Measured,2013,24.9
Body weight,GBR,United Kingdom,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,25.6
Body weight,GBR,United Kingdom,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,26.9
Body weight,GBR,United Kingdom,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,26.2
Body weight,GBR,United Kingdom,Share of population who are obese,Total,Total,Percentage of population,Measured,2017,28.7
Body weight,GBR,United Kingdom,Share of population who are obese,Total,Total,Percentage of population,Measured,2018,27.7
Body weight,GBR,United Kingdom,Share of population who are obese,Total,Total,Percentage of population,Measured,2019,28
Body weight,PRT,Portugal,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2015,67.6
Body weight,PER,Peru,Share of population who are obese,Total,Total,Percentage of population,Measured,2010,16.3
Body weight,PER,Peru,Share of population who are obese,Total,Total,Percentage of population,Measured,2011,16.7
Body weight,PER,Peru,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,17.2
Body weight,PER,Peru,Share of population who are obese,Total,Total,Percentage of population,Measured,2013,17.7
Body weight,PER,Peru,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,18.1
Body weight,PER,Peru,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,18.6
Body weight,PER,Peru,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,19.1
Body weight,SVK,Slovak Republic,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,37.9
Body weight,SVK,Slovak Republic,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,38.3
Body weight,GBR,United Kingdom,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2010,62.8
Body weight,GBR,United Kingdom,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2011,61.7
Body weight,GBR,United Kingdom,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2012,61.9
