REF_AREA,Reference area,Measure,Unit of measure,Age,Sex,TIME_PERIOD,OBS_VALUE, 
USA,United States,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,23.4,
USA,United States,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,37.3,
HUN,Hungary,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,75.5,
HUN,Hungary,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,75.3,
HUN,Hungary,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,76.3,
HUN,Hungary,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,76.5,
HUN,Hungary,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,76.9,
HUN,Hungary,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,79.7,
HUN,Hungary,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,127.9,
HUN,Hungary,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,152.2,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,91.9,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,100.9,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,110.1,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,129.1,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,143.1,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,165.4,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,175.2,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,199.1,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2000,216.6,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,32.5,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,44.2,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,43.6,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,51.7,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,48.1,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,55.9,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,61.6,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,62.8,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,69.8,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,69.4,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,75,
ROU,Romania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,41.5,
ROU,Romania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,45.6,
ROU,Romania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,12.7,
ROU,Romania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,28.2,
ROU,Romania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,31.4,
ROU,Romania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,33,
SWE,Sweden,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,25.5,
SWE,Sweden,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,23.1,
SWE,Sweden,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,22.7,
SWE,Sweden,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,23.2,
SWE,Sweden,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,11.6,
SWE,Sweden,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,14.6,
SWE,Sweden,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,16.2,
SWE,Sweden,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,17.9,
SWE,Sweden,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,18.4,
SWE,Sweden,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,19.7,
SWE,Sweden,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,22.1,
SWE,Sweden,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,23.4,
SWE,Sweden,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,24.5,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,54.8,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,52.6,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,53.3,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,55.4,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,85.3,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,99.5,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,94.9,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,105.9,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2000,106.3,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,33.5,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,42.8,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,42,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,41.5,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,44.7,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,43.5,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,40.4,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,41.6,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,42.6,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,37.9,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,40.3,
DEU,Germany,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,23.7,
DEU,Germany,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,31.7,
DEU,Germany,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,30.4,
DEU,Germany,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,28.7,
DEU,Germany,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,27.7,
DEU,Germany,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,24.5,
DEU,Germany,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,24.4,
HRV,Croatia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,9.5,
HRV,Croatia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,10,
CAN,Canada,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,15.8,
CAN,Canada,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,14.8,
CAN,Canada,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,16.9,
CAN,Canada,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,17,
CAN,Canada,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,19.9,
CAN,Canada,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,6.7,
CAN,Canada,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,13.9,
CAN,Canada,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,14.9,
CAN,Canada,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,15,
CAN,Canada,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,14.4,
CAN,Canada,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,14.8,
CAN,Canada,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,15.3,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,27.4,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,26,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,20.5,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,22.5,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,30.2,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,43.1,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,57.1,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,62.6,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2000,52.5,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,5.1,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,5.9,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,8.5,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,15.1,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,10.8,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,11.9,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,14.7,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,14.3,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,20.3,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,17.8,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,20.7,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,36.1,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,37.7,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,34.9,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,40.8,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,39.3,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,42.2,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,45.5,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,50.1,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,51.4,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,14.7,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,21.8,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,22.1,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,22.4,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,24.5,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,25.7,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,27.2,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,27.4,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,30.8,
NZL,New Zealand,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,67.7,
NZL,New Zealand,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,71.7,
NZL,New Zealand,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,76,
NZL,New Zealand,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,77.4,
NZL,New Zealand,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,81.1,
NZL,New Zealand,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,77,
NZL,New Zealand,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,72.6,
NZL,New Zealand,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,75.3,
NZL,New Zealand,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,76.4,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,13.8,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,15,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,15.9,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,17.2,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,19.5,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,20.7,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,22,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,25.1,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,28.2,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,4.5,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,9,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,9,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,9.7,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,9.9,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,9.9,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,11,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,12.3,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,10.8,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,11.8,
NOR,Norway,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,26.3,
NOR,Norway,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,30.9,
NOR,Norway,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,32.9,
NOR,Norway,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,33.2,
NOR,Norway,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,35.4,
NOR,Norway,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,35.8,
NOR,Norway,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,38.7,
NOR,Norway,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,38.2,
NOR,Norway,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,28.7,
NOR,Norway,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,19.6,
NOR,Norway,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,21.5,
NOR,Norway,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,22.6,
FRA,France,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,30.4,
FRA,France,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,27.5,
FRA,France,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,29.1,
FRA,France,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,29.8,
FRA,France,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,30.3,
LTU,Lithuania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,20.1,
LTU,Lithuania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,42.7,
LTU,Lithuania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,49.2,
LTU,Lithuania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,55.3,
LTU,Lithuania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,56.5,
LTU,Lithuania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,57,
LTU,Lithuania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,58.6,
LTU,Lithuania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,67.1,
SVN,Slovenia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,34.1,
SVN,Slovenia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,35.2,
SVN,Slovenia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,45,
SVN,Slovenia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,42.6,
SVN,Slovenia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,44.3,
SVN,Slovenia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,41,
SVN,Slovenia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,40.8,
SVN,Slovenia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,44.4,
SVN,Slovenia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,41.5,
SVN,Slovenia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,17.4,
SVN,Slovenia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,30,
TUR,Turkiye,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,94.5,
SGP,Singapore,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,107.6,
AUS,Australia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,42,
MLT,Malta,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,80.9,
CHL,Chile,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,19.5,
NLD,Netherlands,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,37.3,
GBR,United Kingdom,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,71.1,
LVA,Latvia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,104.7,
MEX,Mexico,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,7.3,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,80.7,
CZE,Czechia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,28.6,
JPN,Japan,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,3.5,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,85.6,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,78.3,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,38.1,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,47.7,
PRT,Portugal,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,10,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,43.2,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,55.9,
COL,Colombia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,14.6,
CHE,Switzerland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,27.6,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,30.1,
EST,Estonia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,25.5,
USA,United States,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,37.5,
HUN,Hungary,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,172.9,
FIN,Finland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,84.1,
ROU,Romania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,36.1,
SWE,Sweden,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,24.5,
IRL,Ireland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,43.6,
DEU,Germany,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,24.8,
HRV,Croatia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,4.8,
CAN,Canada,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,15.2,
ISL,Iceland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,38.1,
AUT,Austria,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,34.5,
NZL,New Zealand,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,65.4,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,13.6,
NOR,Norway,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,25,
FRA,France,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,29.9,
LTU,Lithuania,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,66.3,
SVN,Slovenia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,32.7,
