STRUCTURE_NAME,REF_AREA,Reference area,Measure,Unit of measure,Age,Sex,Cause of death,TIME_PERIOD,OBS_VALUE
Causes of mortality,ZAF,South Africa,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2015,118.2
Causes of mortality,ZAF,South Africa,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2016,118.3
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2014,0.7
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2015,0.7
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2016,0.6
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2017,0.6
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2018,0.6
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2019,0.6
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2020,0.9
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2021,0.9
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2010,1.1
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2011,0.9
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2012,0.7
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2013,0.7
Causes of mortality,ARG,Argentina,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2012,29.2
Causes of mortality,ARG,Argentina,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2013,28.8
Causes of mortality,ARG,Argentina,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2014,28.9
Causes of mortality,ARG,Argentina,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2015,31.8
Causes of mortality,ARG,Argentina,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2016,32.4
Causes of mortality,ARG,Argentina,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2017,29.6
Causes of mortality,ARG,Argentina,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2018,29.5
Causes of mortality,ARG,Argentina,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2019,29.3
Causes of mortality,ARG,Argentina,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2020,30.6
Causes of mortality,ARG,Argentina,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2021,29.8
Causes of mortality,ARG,Argentina,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2010,31
Causes of mortality,ARG,Argentina,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2011,30.3
Causes of mortality,LTU,Lithuania,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2016,445.6
Causes of mortality,LTU,Lithuania,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2017,419
Causes of mortality,LTU,Lithuania,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2018,396
Causes of mortality,LTU,Lithuania,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2019,372.2
Causes of mortality,LTU,Lithuania,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2020,398.1
Causes of mortality,LTU,Lithuania,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2021,394.9
Causes of mortality,LTU,Lithuania,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2011,474.5
Causes of mortality,LTU,Lithuania,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2012,472.2
Causes of mortality,LTU,Lithuania,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2022,377
Causes of mortality,LTU,Lithuania,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2010,501
Causes of mortality,LTU,Lithuania,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2013,466
Causes of mortality,LTU,Lithuania,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2014,445.1
Causes of mortality,LTU,Lithuania,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2015,463.7
Causes of mortality,NOR,Norway,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2014,215.7
Causes of mortality,NOR,Norway,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2015,210.2
Causes of mortality,NOR,Norway,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2016,206.8
Causes of mortality,DEU,Germany,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2016,0.9
Causes of mortality,DEU,Germany,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2017,0.9
Causes of mortality,NOR,Norway,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2012,222.1
Causes of mortality,NOR,Norway,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2013,213.7
Causes of mortality,ESP,Spain,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2011,1.9
Causes of mortality,ESP,Spain,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2012,1.7
Causes of mortality,ESP,Spain,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2013,1.5
Causes of mortality,ESP,Spain,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2014,1.4
Causes of mortality,ESP,Spain,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2015,1.2
Causes of mortality,ESP,Spain,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2016,1
Causes of mortality,ESP,Spain,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2017,0.9
Causes of mortality,ESP,Spain,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2018,0.8
Causes of mortality,ESP,Spain,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2019,0.8
Causes of mortality,ESP,Spain,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2020,0.7
Causes of mortality,ESP,Spain,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2021,0.6
Causes of mortality,ESP,Spain,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2010,2.1
Causes of mortality,LVA,Latvia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2014,22.4
Causes of mortality,LVA,Latvia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2015,20.4
Causes of mortality,LVA,Latvia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2016,23.7
Causes of mortality,LVA,Latvia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2017,24.5
Causes of mortality,LVA,Latvia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2018,24.7
Causes of mortality,LVA,Latvia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2019,27.4
Causes of mortality,LVA,Latvia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2020,29
Causes of mortality,LVA,Latvia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2021,30.7
Causes of mortality,LVA,Latvia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2010,24.9
Causes of mortality,LVA,Latvia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2011,21.6
Causes of mortality,LVA,Latvia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2012,20.9
Causes of mortality,LVA,Latvia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2013,20.3
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2010,1.7
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2011,1.5
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2012,1.3
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2013,1.2
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2014,1.2
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2015,1.3
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2016,1.2
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2017,1.2
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2018,0.9
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2019,0.9
Causes of mortality,FIN,Finland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2012,192.1
Causes of mortality,FIN,Finland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2013,191.3
Causes of mortality,FIN,Finland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2014,187.5
Causes of mortality,FIN,Finland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2017,185.9
Causes of mortality,FIN,Finland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2018,182.2
Causes of mortality,FIN,Finland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2019,183.3
Causes of mortality,FIN,Finland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2015,187.5
Causes of mortality,FIN,Finland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2016,188.4
Causes of mortality,FIN,Finland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2020,181
Causes of mortality,FIN,Finland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2021,179.5
Causes of mortality,FIN,Finland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2010,198.3
Causes of mortality,FIN,Finland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2011,194.1
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2016,203.7
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2017,200.9
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2018,200.8
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2019,196.6
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2020,196.6
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2021,191.9
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2010,221.6
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2011,220.5
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2012,219.5
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2013,214.4
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2014,214.4
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2015,208.9
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2018,234.2
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2019,234.3
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2020,229.3
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2021,220.9
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2012,257.3
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2013,250.1
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2017,234.6
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2014,245.6
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2015,239.9
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2016,239.2
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2010,272.1
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2011,260.7
Causes of mortality,EST,Estonia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2013,2.9
Causes of mortality,EST,Estonia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2014,1.5
Causes of mortality,EST,Estonia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2015,2.1
Causes of mortality,EST,Estonia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2016,2.1
Causes of mortality,EST,Estonia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2017,1.8
Causes of mortality,EST,Estonia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2018,2.5
Causes of mortality,EST,Estonia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2019,1.4
Causes of mortality,EST,Estonia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2020,0.9
Causes of mortality,EST,Estonia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2021,1.5
Causes of mortality,EST,Estonia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2022,1.4
Causes of mortality,EST,Estonia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2010,3.3
Causes of mortality,EST,Estonia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2011,2.6
Causes of mortality,EST,Estonia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2012,2.1
Causes of mortality,FRA,France,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2015,1
Causes of mortality,FRA,France,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2016,1
Causes of mortality,FRA,France,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2017,1
Causes of mortality,FRA,France,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2018,0.9
Causes of mortality,FRA,France,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2019,0.9
Causes of mortality,FRA,France,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2020,0.8
Causes of mortality,FRA,France,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2010,1.3
Causes of mortality,FRA,France,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2011,1.2
Causes of mortality,FRA,France,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2012,1.2
Causes of mortality,FRA,France,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2013,1.1
Causes of mortality,FRA,France,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2014,1.1
Causes of mortality,USA,United States,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2014,2.2
Causes of mortality,ZAF,South Africa,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2016,47.8
Causes of mortality,ZAF,South Africa,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2017,46.5
Causes of mortality,USA,United States,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2017,1.8
Causes of mortality,USA,United States,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2018,1.7
Causes of mortality,USA,United States,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2019,1.6
Causes of mortality,USA,United States,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2020,1.6
Causes of mortality,USA,United States,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2021,1.5
Causes of mortality,USA,United States,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2010,2.8
Causes of mortality,USA,United States,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2011,2.5
Causes of mortality,USA,United States,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2012,2.3
Causes of mortality,USA,United States,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2013,2.2
Causes of mortality,NZL,New Zealand,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2011,151
Causes of mortality,NZL,New Zealand,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2012,141.2
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2017,21
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2018,19.9
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2019,20.5
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2022,22.7
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2020,20.8
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2021,20.8
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2010,20.5
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2011,21.5
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2012,21.1
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2013,20.9
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2014,20.4
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2015,21.4
Causes of mortality,NZL,New Zealand,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2013,133.4
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2016,21.3
Causes of mortality,NZL,New Zealand,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2014,131.2
Causes of mortality,NZL,New Zealand,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2015,125.4
Causes of mortality,NZL,New Zealand,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2016,112.5
Causes of mortality,NZL,New Zealand,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2010,151.6
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2015,1
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2016,0.7
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2017,0.7
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2010,1.3
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2011,1.3
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2012,1.4
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2018,0.7
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2019,0.6
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2020,0.6
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2013,1.2
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2014,1.1
Causes of mortality,CAN,Canada,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2015,95.4
Causes of mortality,CAN,Canada,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2016,89.4
Causes of mortality,CAN,Canada,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2017,88.1
Causes of mortality,CAN,Canada,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2018,85.7
Causes of mortality,CAN,Canada,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2021,80.2
Causes of mortality,CAN,Canada,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2022,80.3
Causes of mortality,CAN,Canada,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2019,80.9
Causes of mortality,CAN,Canada,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2020,81.6
Causes of mortality,CAN,Canada,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2010,112.6
Causes of mortality,CAN,Canada,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2011,105.2
Causes of mortality,CAN,Canada,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2012,102.9
Causes of mortality,CAN,Canada,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2013,100.1
Causes of mortality,CAN,Canada,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2014,97.7
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2013,29.7
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2014,31.7
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2017,30.4
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2018,29.2
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2019,24.7
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2021,29.6
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2020,25.9
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2015,34.4
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2016,32.3
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2010,33.1
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2011,31.3
Causes of mortality,AUT,Austria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2012,31.3
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2014,0.3
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2015,0.4
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2016,0.3
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2017,0.2
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2018,0.3
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2019,0.2
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2020,0.3
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2021,0.3
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2010,0.3
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2011,0.3
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2012,0.3
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2013,0.3
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2016,257.3
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2017,251.9
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2018,248.1
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2019,245
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2020,240.4
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2021,224.5
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2010,264.9
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2011,259.2
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2012,261
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2013,254.8
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2014,254.1
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2015,263.7
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2012,245.5
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2013,241.3
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2014,238.9
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2015,236.8
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2016,235.3
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2017,231
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2018,233.3
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2019,224.3
Causes of mortality,NOR,Norway,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2010,231.6
Causes of mortality,NOR,Norway,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2011,226.3
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2011,244.8
Causes of mortality,SVK,Slovak Republic,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2010,0
Causes of mortality,SVK,Slovak Republic,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2012,0.1
Causes of mortality,SVK,Slovak Republic,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2013,0
Causes of mortality,SVK,Slovak Republic,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2014,0
