REF_AREA,Reference area,Measure,Unit of measure,Age,Sex,TIME_PERIOD,OBS_VALUE,TIME_RANGE
NZL,New Zealand,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2013,208.4,
NZL,New Zealand,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2014,211.2,
BGR,Bulgaria,Colon cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2004,43.9,Data applies to previous five years inclusive
BGR,Bulgaria,Colon cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2009,48.5,Data applies to previous five years inclusive
BGR,Bulgaria,Colon cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2014,52.4,Data applies to previous five years inclusive
LTU,Lithuania,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,977,
LTU,Lithuania,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,874.8,
LTU,Lithuania,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,873,
LTU,Lithuania,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,819.9,
LTU,Lithuania,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,772.9,
LTU,Lithuania,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,771.6,
LTU,Lithuania,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,743.5,
LTU,Lithuania,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,732.7,
LTU,Lithuania,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,482.6,
SVK,Slovak Republic,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2009,137.5,
SVK,Slovak Republic,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2010,147.7,
SVK,Slovak Republic,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2011,124.2,
SVK,Slovak Republic,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2012,114.3,
SVK,Slovak Republic,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2013,106.5,
SVK,Slovak Republic,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2014,99.5,
SVK,Slovak Republic,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2015,97.1,
SVK,Slovak Republic,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2016,83.4,
SVK,Slovak Republic,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2017,85.4,
SVK,Slovak Republic,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2018,78,
SVK,Slovak Republic,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2019,79.9,
SVK,Slovak Republic,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2020,45.3,
EST,Estonia,Rectal cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2004,44.1,Data applies to previous five years inclusive
EST,Estonia,Rectal cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2009,44.6,Data applies to previous five years inclusive
EST,Estonia,Rectal cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2014,48.9,Data applies to previous five years inclusive
NLD,Netherlands,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2006,238.1,
NLD,Netherlands,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2007,238.7,
NLD,Netherlands,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2008,231.6,
NLD,Netherlands,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2009,238.5,
NLD,Netherlands,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2010,241,
NLD,Netherlands,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2011,233.2,
NLD,Netherlands,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2012,237.5,
NLD,Netherlands,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2014,194,
NLD,Netherlands,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2015,200.5,
NLD,Netherlands,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2016,194.7,
NLD,Netherlands,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2017,196.7,
NLD,Netherlands,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2018,187,
NLD,Netherlands,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2019,198,
NLD,Netherlands,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2020,173.6,
SVN,Slovenia,Cervical cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2004,67.2,Data applies to previous five years inclusive
SVN,Slovenia,Cervical cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2009,67.1,Data applies to previous five years inclusive
SVN,Slovenia,Cervical cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2014,65.5,Data applies to previous five years inclusive
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,223.6,
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,214.5,
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,200.3,
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,192,
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,178.4,
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,179.2,
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,164.4,
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,157.6,
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,145.1,
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,139.8,
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,133.8,
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,133.6,
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,124.6,
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,121.2,
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,117.8,
CHL,Chile,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,113,
HRV,Croatia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Female,2018,12.1,
HRV,Croatia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Female,2019,11.9,
HRV,Croatia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Female,2020,6.1,
BEL,Belgium,Rectal cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2004,63,Data applies to previous five years inclusive
BEL,Belgium,Rectal cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2009,63.7,Data applies to previous five years inclusive
BEL,Belgium,Rectal cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2014,66.1,Data applies to previous five years inclusive
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2003,20.3,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2004,20.7,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2005,21.1,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2006,18.6,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2007,19.4,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2008,20.5,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2009,22.1,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2010,18.6,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2011,18.6,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2012,18.1,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2013,18,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2014,17.6,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2015,16.8,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2018,13.7,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2019,9,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2020,3,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,120.4,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,102.8,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,81.8,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,76.7,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,70.1,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,65.7,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,54.1,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,47.3,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,41.5,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,36.3,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,28.7,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,23.8,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,29.6,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,26,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,22,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,19.4,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,17.4,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,14,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,12.1,
ITA,Italy,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,7.6,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2005,89.8,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2006,91,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2007,88.4,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2008,80.6,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2009,77.2,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2010,78.7,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2011,73.4,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2012,67,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2013,64,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2014,57.2,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2015,53.7,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2016,51,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2017,47.8,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2018,42.7,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2019,46.8,
DNK,Denmark,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2020,39.6,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,120.6,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,113.1,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,106.1,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,104.2,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,111.1,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,99.7,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,96.2,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,96.4,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,91.4,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,85.6,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,79,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,68.5,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,40.6,
CAN,Canada,Lung cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2004,16.8,Data applies to previous five years inclusive
CAN,Canada,Lung cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2009,18.6,Data applies to previous five years inclusive
CAN,Canada,Lung cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2014,21.3,Data applies to previous five years inclusive
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2001,101,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2002,99.3,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2003,94,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2004,93.3,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2005,92.2,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2006,87.6,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2007,82.1,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2008,81,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2009,75.9,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2010,72.6,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2011,66.4,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2012,62.8,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2013,81.5,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2014,74.2,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2015,69.6,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2016,67,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2017,59.6,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2018,61.6,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2019,58.8,
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Male,2020,43.8,
ROU,Romania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Female,2014,333.7,
ROU,Romania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Female,2015,337.5,
ROU,Romania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Female,2016,332.9,
ROU,Romania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Female,2017,339.4,
ROU,Romania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Female,2018,339.2,
ROU,Romania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Female,2019,331,
ROU,Romania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Female,2020,139.7,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,263.3,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,249.9,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,243.8,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,222.4,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,221.2,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,185.5,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,172.7,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,156.9,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,141.5,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,126.5,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,108.7,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,98.1,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,84.6,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,74.9,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,68.7,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,62.1,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,68.2,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,49.8,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,50.8,
ITA,Italy,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,24.2,
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Female,2005,223,
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Female,2007,210.8,
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Female,2009,197.1,
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Female,2011,193.8,
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Female,2013,184.4,
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Female,2015,173.7,
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Female,2017,163,
DEU,Germany,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Female,2019,157.3,
ISL,Iceland,Breast cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2004,87.4,Data applies to previous five years inclusive
ISL,Iceland,Breast cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2009,85.8,Data applies to previous five years inclusive
ISL,Iceland,Breast cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2014,89.1,Data applies to previous five years inclusive
SWE,Sweden,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2007,185.1,
SWE,Sweden,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2008,193,
SWE,Sweden,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2009,193.8,
SWE,Sweden,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2010,201.7,
SWE,Sweden,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2011,205.8,
SWE,Sweden,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2012,210.3,
SWE,Sweden,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2013,209.2,
SWE,Sweden,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2014,200.9,
SWE,Sweden,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2015,195.1,
SWE,Sweden,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2016,183.7,
SWE,Sweden,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2017,182.6,
SWE,Sweden,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2018,171.5,
SWE,Sweden,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2019,139.6,
SWE,Sweden,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Female,2020,100.2,
NOR,Norway,Stomach cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2004,24.6,Data applies to previous five years inclusive
NOR,Norway,Stomach cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2009,26.4,Data applies to previous five years inclusive
NOR,Norway,Stomach cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2014,25.1,Data applies to previous five years inclusive
HUN,Hungary,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2004,693.5,
HUN,Hungary,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2005,675.4,
HUN,Hungary,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2006,635,
HUN,Hungary,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2007,502.9,
HUN,Hungary,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2008,513.6,
HUN,Hungary,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2009,558.3,
HUN,Hungary,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2010,553.2,
HUN,Hungary,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2011,542.6,
HUN,Hungary,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2012,509.9,
KOR,Korea,Colon cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2004,60.5,Data applies to previous five years inclusive
KOR,Korea,Colon cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2009,68.1,Data applies to previous five years inclusive
KOR,Korea,Colon cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2014,71.8,Data applies to previous five years inclusive
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,165.1,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,183.8,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,157.1,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,113.8,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,103.8,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,100.7,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,96.4,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,86.7,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,85.6,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,78.3,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,75.9,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,47.4,
CHE,Switzerland,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2006,50.4,
CHE,Switzerland,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2007,47.6,
CHE,Switzerland,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2008,42.5,
CHE,Switzerland,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2009,37.8,
CHE,Switzerland,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2010,42.8,
CHE,Switzerland,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2011,41.2,
CHE,Switzerland,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2012,40.4,
CHE,Switzerland,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2013,36.2,
CHE,Switzerland,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2014,35,
CHE,Switzerland,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2015,33.8,
CHE,Switzerland,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2016,37.1,
CHE,Switzerland,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2017,34.6,
CHE,Switzerland,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2018,34.8,
CHE,Switzerland,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2019,33,
CHE,Switzerland,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2020,29.5,
CYP,Cyprus,Breast cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2004,89.3,Data applies to previous five years inclusive
CYP,Cyprus,Breast cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2009,92,Data applies to previous five years inclusive
CYP,Cyprus,Breast cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2014,92.8,Data applies to previous five years inclusive
NZL,New Zealand,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2005,11.9,
